Title,Author,Average Ratings,Total Ratings
Perfume: The Story of a Murderer,Patrick Süskind, 4.03 avg rating,"308,448 ratings"
The Count of Monte Cristo,Alexandre Dumas, 4.25 avg rating,"727,993 ratings"
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis, 4.22 avg rating,"2,062,779 ratings"
It,Stephen King, 4.24 avg rating,"768,495 ratings"
Watchmen,Alan Moore, 4.36 avg rating,"478,554 ratings"
"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder, 4.34 avg rating,"139,538 ratings"
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan, 4.51 avg rating,"635,376 ratings"
The Divine Comedy,Dante Alighieri, 4.06 avg rating,"111,817 ratings"
Peter Pan,J.M. Barrie, 4.07 avg rating,"261,210 ratings"
All Quiet on the Western Front,Erich Maria Remarque, 3.98 avg rating,"347,449 ratings"
The Compleat Works of Wllm Shkspr,Reduced Shakespeare Company, 4.44 avg rating,"8,383 ratings"
Love in the Time of Cholera,Gabriel García Márquez, 3.92 avg rating,"397,156 ratings"
"Shadow Kiss (Vampire Academy, #3)",Richelle Mead, 4.36 avg rating,"317,705 ratings"
A Walk to Remember,Nicholas Sparks, 4.18 avg rating,"655,665 ratings"
The Thorn Birds,Colleen McCullough, 4.23 avg rating,"306,768 ratings"
"Insurgent (Divergent, #2)",Veronica Roth, 4.03 avg rating,"1,131,994 ratings"
"The Hobbit, or There and Back Again",J.R.R. Tolkien, 4.27 avg rating,"2,801,458 ratings"
How the Grinch Stole Christmas!,Dr. Seuss, 4.37 avg rating,"319,280 ratings"
"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams, 4.36 avg rating,"279,521 ratings"
The Importance of Being Earnest,Oscar Wilde, 4.18 avg rating,"295,856 ratings"
"Eat, Pray, Love",Elizabeth Gilbert, 3.56 avg rating,"1,436,567 ratings"
Atonement,Ian McEwan, 3.90 avg rating,"430,073 ratings"
Their Eyes Were Watching God,Zora Neale Hurston, 3.92 avg rating,"251,877 ratings"
"The Three Musketeers (The D'Artagnan Romances, #1)",Alexandre Dumas, 4.07 avg rating,"265,896 ratings"
"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum, 3.99 avg rating,"354,228 ratings"
"Frostbite (Vampire Academy, #2)",Richelle Mead, 4.28 avg rating,"301,268 ratings"
Goodnight Moon,Margaret Wise Brown, 4.28 avg rating,"295,240 ratings"
The Lorax,Dr. Seuss, 4.35 avg rating,"273,413 ratings"
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett, 4.25 avg rating,"515,856 ratings"
"Blood Promise (Vampire Academy, #4)",Richelle Mead, 4.34 avg rating,"269,057 ratings"
Tess of the D'Urbervilles,Thomas Hardy, 3.80 avg rating,"232,962 ratings"
"The Good Earth (House of Earth, #1)",Pearl S. Buck, 3.98 avg rating,"219,551 ratings"
Heart of Darkness,Joseph Conrad, 3.43 avg rating,"400,842 ratings"
The Prophet,Kahlil Gibran, 4.23 avg rating,"225,508 ratings"
A Midsummer Night's Dream,William Shakespeare, 3.95 avg rating,"434,199 ratings"
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan, 4.40 avg rating,"707,454 ratings"
"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley, 4.12 avg rating,"186,292 ratings"
"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare, 4.58 avg rating,"319,521 ratings"
The Joy Luck Club,Amy Tan, 3.93 avg rating,"588,802 ratings"
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan, 4.24 avg rating,"712,042 ratings"
Alice in Wonderland,Jane Carruth, 4.03 avg rating,"374,609 ratings"
"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan, 4.35 avg rating,"651,554 ratings"
The Call of the Wild,Jack London, 3.87 avg rating,"328,349 ratings"
Jonathan Livingston Seagull,Richard Bach, 3.84 avg rating,"195,741 ratings"
Madame Bovary,Gustave Flaubert, 3.67 avg rating,"243,620 ratings"
The Phantom Tollbooth,Norton Juster, 4.21 avg rating,"230,084 ratings"
Bridge to Terabithia,Katherine Paterson, 4.01 avg rating,"430,445 ratings"
"Oh, the Places You'll Go!",Dr. Seuss, 4.36 avg rating,"317,292 ratings"
"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson, 4.24 avg rating,"791,127 ratings"
"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",Suzanne Collins, 4.48 avg rating,"184,744 ratings"
"The Maze Runner (The Maze Runner, #1)",James Dashner, 4.02 avg rating,"1,007,777 ratings"
Oliver Twist,Charles Dickens, 3.87 avg rating,"309,712 ratings"
Ulysses,James Joyce, 3.73 avg rating,"106,959 ratings"
A Clockwork Orange,Anthony Burgess, 3.99 avg rating,"580,172 ratings"
The Neverending Story,Michael Ende, 4.18 avg rating,"156,604 ratings"
Treasure Island,Robert Louis Stevenson, 3.83 avg rating,"387,047 ratings"
The Clan of the Cave Bear,Jean M. Auel, 4.05 avg rating,"223,604 ratings"
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James, 3.66 avg rating,"1,876,934 ratings"
The Canterbury Tales,Geoffrey Chaucer, 3.50 avg rating,"184,895 ratings"
The World According to Garp,John Irving, 4.09 avg rating,"201,502 ratings"
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin, 4.54 avg rating,"649,730 ratings"
A Farewell to Arms,Ernest Hemingway, 3.81 avg rating,"256,939 ratings"
David Copperfield,Charles Dickens, 3.99 avg rating,"194,697 ratings"
Thirteen Reasons Why,Jay Asher, 3.93 avg rating,"750,808 ratings"
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire, 3.53 avg rating,"565,414 ratings"
"Shōgun (Asian Saga, #1)",James Clavell, 4.39 avg rating,"142,643 ratings"
Extremely Loud & Incredibly Close,Jonathan Safran Foer, 3.98 avg rating,"373,733 ratings"
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory, 4.06 avg rating,"449,741 ratings"
A Little Princess,Frances Hodgson Burnett, 4.20 avg rating,"264,852 ratings"
Schindler's List,Thomas Keneally, 4.35 avg rating,"139,510 ratings"
His Dark Materials (His Dark Materials #1-3),Philip Pullman, 4.26 avg rating,"139,144 ratings"
"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie, 4.17 avg rating,"355,274 ratings"
The Boy in the Striped Pajamas,John Boyne, 4.15 avg rating,"489,621 ratings"
"Fallen (Fallen, #1)",Lauren Kate, 3.73 avg rating,"479,352 ratings"
"Last Sacrifice (Vampire Academy, #6)",Richelle Mead, 4.40 avg rating,"250,324 ratings"
"Jurassic Park (Jurassic Park, #1)",Michael Crichton, 4.03 avg rating,"782,795 ratings"
The Night Circus,Erin Morgenstern, 4.04 avg rating,"652,696 ratings"
The Secret Magdalene,Ki Longfellow, 4.07 avg rating,"4,176 ratings"
The Silmarillion,J.R.R. Tolkien, 3.93 avg rating,"208,888 ratings"
A Confederacy of Dunces,John Kennedy Toole, 3.89 avg rating,"225,844 ratings"
Beloved,Toni Morrison, 3.85 avg rating,"311,849 ratings"
The Sun Also Rises,Ernest Hemingway, 3.82 avg rating,"359,275 ratings"
The Trial,Franz Kafka, 3.97 avg rating,"221,219 ratings"
The Velveteen Rabbit,Margery Williams Bianco, 4.30 avg rating,"215,310 ratings"
"Spirit Bound (Vampire Academy, #5)",Richelle Mead, 4.36 avg rating,"255,461 ratings"
"The Selection (The Selection, #1)",Kiera Cass, 4.14 avg rating,"837,092 ratings"
"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan, 4.34 avg rating,"593,926 ratings"
The Iliad/The Odyssey,Homer, 4.04 avg rating,"61,223 ratings"
Cat's Cradle,Kurt Vonnegut Jr., 4.16 avg rating,"331,984 ratings"
The Crucible,Arthur  Miller, 3.58 avg rating,"315,150 ratings"
"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare, 4.45 avg rating,"424,093 ratings"
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas, 4.21 avg rating,"554,196 ratings"
"Catching Fire (The Hunger Games, #2)",Suzanne Collins, 4.29 avg rating,"2,416,789 ratings"
Girl with a Pearl Earring,Tracy Chevalier, 3.89 avg rating,"611,571 ratings"
